epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,6293.32,0.74666,0.37774,0.99164,0.96677,0.82779,0.881,0.79627,0.59155,0.31141,0.80408,0.00406,0.00406,0.00406
92,6363.04,0.73214,0.37443,0.99122,0.96122,0.83106,0.88263,0.79566,0.59594,0.31513,0.80664,0.003994,0.003994,0.003994
93,6432.54,0.73736,0.37548,0.98893,0.96436,0.83403,0.88554,0.7972,0.59664,0.30242,0.80564,0.003928,0.003928,0.003928
94,6502.23,0.73544,0.37109,0.98412,0.96396,0.82988,0.88066,0.79142,0.59645,0.30004,0.80647,0.003862,0.003862,0.003862
95,6571.57,0.72818,0.36743,0.98297,0.95427,0.83877,0.88352,0.79739,0.58365,0.29786,0.80423,0.003796,0.003796,0.003796
96,6640.75,0.71718,0.36326,0.98598,0.95936,0.83963,0.88544,0.79809,0.58323,0.29905,0.80451,0.00373,0.00373,0.00373
97,6709.52,0.72901,0.3691,0.9841,0.96185,0.83936,0.88772,0.79922,0.59699,0.30447,0.80545,0.003664,0.003664,0.003664
98,6779.18,0.7219,0.36375,0.98154,0.96236,0.83462,0.8851,0.79843,0.59184,0.30325,0.80668,0.003598,0.003598,0.003598
99,6848.86,0.71483,0.35996,0.97997,0.96368,0.83521,0.88256,0.79537,0.59953,0.30298,0.80375,0.003532,0.003532,0.003532
100,6917.6,0.71185,0.36271,0.97224,0.96822,0.83165,0.88369,0.79742,0.58098,0.29855,0.79743,0.003466,0.003466,0.003466
101,6987.14,0.71773,0.36432,0.98147,0.95681,0.83817,0.88168,0.79649,0.58218,0.29423,0.80014,0.0034,0.0034,0.0034
102,7056.47,0.70605,0.35939,0.97642,0.96384,0.83106,0.88368,0.7974,0.59773,0.2926,0.80111,0.003334,0.003334,0.003334
103,7125.18,0.71359,0.36119,0.97818,0.96014,0.83758,0.88338,0.7953,0.59427,0.29098,0.80098,0.003268,0.003268,0.003268
104,7193.99,0.70571,0.35916,0.97577,0.95998,0.83889,0.89062,0.79927,0.57957,0.29296,0.79925,0.003202,0.003202,0.003202
105,7263.73,0.7059,0.35686,0.97157,0.95923,0.83675,0.88463,0.79822,0.58947,0.29556,0.79924,0.003136,0.003136,0.003136
106,7332.29,0.70351,0.3614,0.97291,0.96435,0.83384,0.8836,0.79863,0.60217,0.2968,0.79969,0.00307,0.00307,0.00307
107,7401,0.70317,0.35613,0.97451,0.96175,0.83456,0.88233,0.79611,0.61227,0.2969,0.79981,0.003004,0.003004,0.003004
108,7469.79,0.69725,0.35668,0.97402,0.95785,0.83758,0.88376,0.79678,0.60839,0.29431,0.802,0.002938,0.002938,0.002938
109,7538.64,0.69753,0.35082,0.97449,0.95944,0.83699,0.88226,0.79647,0.61489,0.29727,0.8,0.002872,0.002872,0.002872
110,7607.48,0.6927,0.35035,0.96847,0.95989,0.83936,0.88354,0.79788,0.61164,0.29881,0.79881,0.002806,0.002806,0.002806
111,7654.3,0.69268,0.35034,0.97309,0.96173,0.83758,0.88314,0.79895,0.59166,0.2971,0.79921,0.00274,0.00274,0.00274
112,7700.55,0.68734,0.34919,0.97001,0.95627,0.83877,0.88317,0.79878,0.58842,0.29854,0.80049,0.002674,0.002674,0.002674
113,7747.37,0.68647,0.34832,0.97224,0.96185,0.83687,0.88341,0.79772,0.56968,0.29066,0.80087,0.002608,0.002608,0.002608
114,7794.14,0.68396,0.34491,0.96618,0.96793,0.83343,0.88333,0.79767,0.5732,0.28733,0.79937,0.002542,0.002542,0.002542
115,7840.84,0.67994,0.34501,0.96609,0.96832,0.83338,0.88528,0.79804,0.5841,0.28438,0.7987,0.002476,0.002476,0.002476
116,7908.23,0.67856,0.34262,0.96549,0.96836,0.83448,0.88729,0.79889,0.58579,0.29264,0.79934,0.00241,0.00241,0.00241
117,7984.56,0.67692,0.34066,0.9641,0.96856,0.83992,0.8878,0.79822,0.58,0.288,0.7985,0.002344,0.002344,0.002344
118,8057.21,0.68094,0.34111,0.96716,0.96977,0.83671,0.88839,0.80008,0.5744,0.28587,0.79889,0.002278,0.002278,0.002278
119,8118.51,0.67114,0.33784,0.96131,0.97242,0.83612,0.8896,0.80115,0.57477,0.28369,0.79912,0.002212,0.002212,0.002212
120,8166.65,0.67226,0.33901,0.95915,0.97316,0.83819,0.89047,0.8025,0.56961,0.28541,0.79698,0.002146,0.002146,0.002146
121,8215.39,0.67238,0.3371,0.96486,0.97113,0.83741,0.89142,0.80284,0.56307,0.28276,0.79801,0.00208,0.00208,0.00208
122,8264.26,0.67285,0.34246,0.96429,0.97103,0.83699,0.89118,0.8021,0.5672,0.2824,0.79926,0.002014,0.002014,0.002014
123,8313.95,0.66879,0.33691,0.95975,0.97027,0.83699,0.89112,0.80156,0.57134,0.2838,0.79802,0.001948,0.001948,0.001948
124,8363.67,0.66299,0.33308,0.95216,0.97012,0.83521,0.89044,0.80131,0.57301,0.28182,0.79489,0.001882,0.001882,0.001882
125,8430.57,0.66303,0.33355,0.95395,0.9667,0.8358,0.88854,0.79915,0.57385,0.28208,0.79375,0.001816,0.001816,0.001816
126,8501.54,0.65199,0.32591,0.95072,0.96578,0.8365,0.88854,0.80072,0.56166,0.27851,0.79307,0.00175,0.00175,0.00175
127,8572.45,0.65438,0.32966,0.95239,0.96967,0.8364,0.88444,0.79957,0.56797,0.28153,0.7931,0.001684,0.001684,0.001684
128,8643.28,0.65293,0.3292,0.95101,0.97041,0.83578,0.88523,0.79959,0.56856,0.28214,0.79368,0.001618,0.001618,0.001618
129,8716.51,0.65626,0.32758,0.95544,0.96685,0.8364,0.88749,0.79941,0.56872,0.27921,0.79239,0.001552,0.001552,0.001552
130,8790.88,0.64975,0.32524,0.94629,0.96589,0.83699,0.88825,0.8004,0.56592,0.27853,0.79223,0.001486,0.001486,0.001486
131,8864.26,0.64477,0.32173,0.94682,0.96812,0.8358,0.8892,0.80108,0.56621,0.27768,0.79277,0.00142,0.00142,0.00142
132,8938.57,0.64828,0.32787,0.94863,0.96914,0.8364,0.88889,0.80184,0.56552,0.28106,0.79196,0.001354,0.001354,0.001354
133,9012.1,0.6478,0.32334,0.94723,0.96849,0.83799,0.88909,0.80307,0.56245,0.28271,0.79174,0.001288,0.001288,0.001288
134,9087.6,0.63195,0.31603,0.94292,0.96652,0.83848,0.88918,0.80252,0.55803,0.28227,0.79219,0.001222,0.001222,0.001222
